animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
432436,S141126-I,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
431931,HAAAG1141121C2,12,70,南投縣公立動物收容所,貓,混種貓                 ,M,SMALL,虎斑色,ADULT,T,F,望和巷,,OPEN,,,2025-11-24,2999-12-31,2025-11-26,2025-11-21,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1763773918637.png,,2025-11-26,南投縣南投市嶺興路36-1號,(049)2225440
431932,HAAAG1141121C3,12,70,南投縣公立動物收容所,貓,混種貓                 ,M,SMALL,虎斑白色,ADULT,T,F,八卦路,,OPEN,,,2025-11-24,2999-12-31,2025-11-26,2025-11-21,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1763773992073.png,,2025-11-26,南投縣南投市嶺興路36-1號,(049)2225440
432434,S141126-K,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,,2025-11-26,臺南市動物之家善化站,,,,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
431933,HAAAG1141121C4,12,70,南投縣公立動物收容所,貓,混種貓                 ,M,SMALL,虎斑白色,ADULT,T,F,八卦路,,OPEN,,,2025-11-24,2999-12-31,2025-11-26,2025-11-21,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1763774054154.png,,2025-11-26,南投縣南投市嶺興路36-1號,(049)2225440
432433,S141126-J,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432432,S141126-H,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
431934,HAAAG1141121C5,12,70,南投縣公立動物收容所,貓,混種貓                 ,F,SMALL,虎斑白色,ADULT,T,F,八卦路,,OPEN,,,2025-11-24,2999-12-31,2025-11-26,2025-11-21,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1763774119410.png,,2025-11-26,南投縣南投市嶺興路36-1號,(049)2225440
432431,S141126-G,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432430,S141126-F,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
431935,HAAAG1141121C6,12,70,南投縣公立動物收容所,貓,混種貓                 ,M,SMALL,虎斑白色,ADULT,T,F,八卦路,,OPEN,,,2025-11-24,2999-12-31,2025-11-26,2025-11-21,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1763774188981.png,,2025-11-26,南投縣南投市嶺興路36-1號,(049)2225440
432423,CAAAG1141126004,6,61,桃園市動物保護教育園區,狗,杜賓犬,F,SMALL,棕色,ADULT,T,F,振興路,,OPEN,,,,2999-12-31,2025-11-26,2025-11-26,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1764139327710.png,,2025-11-26,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
